Design,Planted_Gamma,Rho_sq,N,Success_Fits,T3_Power,T4_Power,T6_Power
P,0.0,0.2,1000,100,0.0,0.09,0.07
P,0.0,0.5,1000,100,0.0,0.05,0.03
P,0.0,0.8,1000,100,0.0,0.04,0.08
P,0.5,0.2,1000,100,0.0,0.94,0.02
P,0.5,0.5,1000,100,0.0,0.56,0.03
P,0.5,0.8,1000,100,0.0,0.26,0.08
P,1.0,0.2,1000,100,0.0,1.0,0.07
P,1.0,0.5,1000,100,0.0,1.0,0.04
P,1.0,0.8,1000,100,0.0,0.8,0.06
L2,0.0,0.2,1000,100,0.0,0.06,0.0
L2,0.0,0.5,1000,100,0.0,0.06,0.06
L2,0.0,0.8,1000,100,0.0,0.07,0.05
L2,0.5,0.2,1000,100,0.0,0.09,0.03
L2,0.5,0.5,1000,100,0.0,0.12,0.01
L2,0.5,0.8,1000,100,0.0,0.08,0.03
L2,1.0,0.2,1000,100,0.0,0.06,0.02
L2,1.0,0.5,1000,100,0.0,0.08,0.05
L2,1.0,0.8,1000,100,0.0,0.07,0.04
L0,0.0,0.2,1000,100,0.0,0.15,0.02
L0,0.0,0.5,1000,100,0.0,0.07,0.03
L0,0.0,0.8,1000,100,0.0,0.11,0.04
L0,0.5,0.2,1000,100,0.0,0.06,0.04
L0,0.5,0.5,1000,100,0.0,0.14,0.09
L0,0.5,0.8,1000,100,0.0,0.06,0.11
L0,1.0,0.2,1000,100,0.0,0.12,0.03
L0,1.0,0.5,1000,100,0.0,0.07,0.07
L0,1.0,0.8,1000,100,0.0,0.12,0.11
